,ID_hecho,FECHA,ID_ROL,ID_VICTIMA,ID_SEXO,EDAD
602,2020-0063,2020-12-05,2,2,M,38
603,2020-0063,2020-12-05,3,1,M,21
604,2020-0065,2020-12-05,1,1,M,24
605,2020-0066,2020-12-07,1,1,M,27
606,2020-0067,2020-12-11,2,2,M,51
607,2020-0068,2020-12-12,1,1,M,71
608,2020-0069,2020-12-15,3,1,M,25
609,2020-0070,2020-12-17,2,2,F,81
610,2020-0071,2020-12-17,2,2,M,4
611,2020-0072,2020-12-19,4,4,M,42
612,2020-0073,2020-12-20,1,1,M,56
613,2020-0074,2020-12-20,1,3,M,39
614,2020-0075,2020-12-23,2,2,M,23
615,2020-0076,2020-12-24,1,3,F,78
616,2020-0077,2020-12-25,1,1,F,30
617,2020-0077,2020-12-25,3,1,F,24
618,2020-0078,2020-12-25,4,4,M,26
619,2020-0079,2020-12-27,1,1,M,28
620,2021-0001,2021-01-06,1,1,M,36
621,2021-0002,2021-01-07,1,1,F,47
622,2021-0003,2021-01-10,1,1,M,27
623,2021-0004,2021-01-11,2,2,F,61
624,2021-0005,2021-01-11,2,2,M,73
625,2021-0006,2021-01-12,3,1,F,23
626,2021-0007,2021-01-18,1,1,M,84
627,2021-0008,2021-01-22,2,2,M,28
628,2021-0009,2021-01-23,1,1,M,31
629,2021-0010,2021-01-23,1,1,M,28
630,2021-0011,2021-01-27,2,2,M,21
631,2021-0012,2021-01-29,2,2,M,0
632,2021-0013,2021-01-31,1,1,M,41
633,2021-0014,2021-02-02,2,2,M,28
634,2021-0015,2021-02-06,1,1,M,26
635,2021-0016,2021-02-14,1,3,M,22
636,2021-0017,2021-02-17,1,1,M,33
637,2021-0018,2021-02-20,2,2,M,36
638,2021-0019,2021-02-21,1,1,M,30
639,2021-0020,2021-02-21,2,2,F,0
640,2021-0021,2021-02-26,1,1,M,39
641,2021-0022,2021-02-28,3,6,M,68
642,2021-0023,2021-03-01,1,1,M,24
643,2021-0024,2021-03-03,4,4,M,5
644,2021-0025,2021-03-11,1,1,M,37
645,2021-0026,2021-03-15,1,1,M,36
646,2021-0027,2021-03-16,1,1,F,19
647,2021-0028,2021-03-29,2,2,M,0
648,2021-0029,2021-03-31,1,3,M,26
649,2021-0030,2021-04-03,2,2,M,36
650,2021-0031,2021-04-07,2,2,F,68
651,2021-0032,2021-04-10,2,2,M,60
652,2021-0033,2021-04-14,1,3,M,33
653,2021-0034,2021-04-19,3,1,F,26
654,2021-0035,2021-05-03,1,1,M,24
655,2021-0036,2021-05-09,1,1,M,36
656,2021-0037,2021-05-11,2,2,F,58
657,2021-0038,2021-05-14,1,1,F,44
658,2021-0039,2021-05-15,4,4,M,86
659,2021-0040,2021-05-20,1,1,M,27
660,2021-0041,2021-05-20,2,2,M,75
661,2021-0042,2021-05-21,2,2,M,39
662,2021-0043,2021-05-22,2,2,M,50
663,2021-0044,2021-05-25,3,1,M,21
664,2021-0045,2021-05-26,1,1,M,22
665,2021-0046,2021-05-31,3,3,M,20
666,2021-0047,2021-06-02,1,1,M,59
667,2021-0048,2021-06-03,4,4,M,44
668,2021-0049,2021-06-03,1,3,M,74
669,2021-0050,2021-06-10,1,1,M,56
670,2021-0051,2021-06-15,2,2,M,73
671,2021-0052,2021-06-20,3,1,F,19
672,2021-0053,2021-06-20,2,2,M,58
673,2021-0054,2021-06-22,1,1,M,41
674,2021-0055,2021-06-29,3,1,M,47
675,2021-0056,2021-07-09,4,4,M,60
676,2021-0057,2021-07-10,1,3,M,46
677,2021-0058,2021-07-21,2,2,M,24
678,2021-0059,2021-07-22,3,3,F,44
679,2021-0060,2021-07-22,2,2,F,80
680,2021-0061,2021-07-24,2,2,F,55
681,2021-0062,2021-07-27,1,3,M,73
682,2021-0063,2021-08-02,3,3,F,31
683,2021-0064,2021-08-02,2,2,M,37
684,2021-0065,2021-08-06,2,2,F,63
685,2021-0066,2021-08-06,2,2,M,59
686,2021-0067,2021-08-08,1,1,M,27
687,2021-0068,2021-08-15,1,1,M,39
688,2021-0069,2021-08-20,2,2,M,17
689,2021-0070,2021-08-28,1,1,M,31
690,2021-0071,2021-08-31,2,2,M,88
691,2021-0072,2021-09-01,2,2,F,57
692,2021-0073,2021-09-18,4,4,F,76
693,2021-0074,2021-09-20,1,1,M,55
694,2021-0075,2021-09-21,2,2,M,65
695,2021-0076,2021-10-16,1,1,M,31
696,2021-0077,2021-10-18,1,1,F,31
697,2021-0078,2021-10-23,1,1,M,22
698,2021-0079,2021-10-25,2,2,M,0
699,2021-0080,2021-10-28,1,1,M,32
700,2021-0081,2021-11-02,1,1,M,26
701,2021-0082,2021-11-06,1,1,M,38
702,2021-0083,2021-11-09,1,1,M,30
703,2021-0084,2021-11-11,1,3,M,32
704,2021-0097,2021-11-18,4,4,M,53
705,2021-0085,2021-11-20,1,1,M,49
706,2021-0086,2021-11-25,2,2,M,75
707,2021-0087,2021-11-27,2,2,F,73
708,2021-0088,2021-12-01,1,1,M,45
709,2021-0089,2021-12-02,1,1,M,41
710,2021-0090,2021-12-10,2,2,M,73
711,2021-0091,2021-12-11,1,1,M,24
712,2021-0092,2021-12-12,2,2,F,50
713,2021-0093,2021-12-13,3,1,F,18
714,2021-0094,2021-12-20,3,1,F,43
715,2021-0095,2021-12-30,1,1,M,27
716,2021-0096,2021-12-15,1,3,M,60
